metric,value
bootstrap_resamples,5000
bootstrap_seed,20260925
permutation_resamples,10000
permutation_seed,20260926
max_threshold_with_bootstrap_exceedance_at_least_0_95,700
max_threshold_with_bootstrap_exceedance_at_least_0_80,1200
max_threshold_with_bootstrap_exceedance_at_least_0_50,1700
max_threshold_with_bootstrap_exceedance_at_least_0_20,2300
max_threshold_with_bootstrap_exceedance_at_least_0_05,2900
